Date,Open,Close
2016-11-01,188.41,192.88
2016-11-02,192.38,190.45
2016-11-03,190.62,188.48
2016-11-04,189.0,192.33
2016-11-07,195.37,198.27
2016-11-08,198.27,202.01
2016-11-09,213.64,225.39
2016-11-10,228.3,233.52
2016-11-11,234.5,229.74
2016-11-14,232.0,231.5
2016-11-15,229.9,229.18
2016-11-16,225.05,220.85
2016-11-17,220.78,221.07
2016-11-18,220.8,219.67
2016-11-21,220.71,222.82
2016-11-22,224.13,221.28
2016-11-23,220.48,224.22
2016-11-25,224.43,225.31
2016-11-28,224.98,216.32
2016-11-29,215.5,218.5
2016-11-30,220.58,219.45
