Date,Open,Close
2017-03-01,58.22,58.91
2017-03-02,58.91,58.63
2017-03-03,58.61,58.73
2017-03-06,58.32,58.33
2017-03-07,58.37,58.2
2017-03-08,58.21,58.17
2017-03-09,58.08,58.02
2017-03-10,58.28,58.31
2017-03-13,58.45,58.77
2017-03-14,58.48,58.55
2017-03-15,58.78,59.7
2017-03-16,59.73,59.51
2017-03-17,59.73,59.58
2017-03-20,59.6,59.0
2017-03-21,59.28,58.51
2017-03-22,58.51,58.49
2017-03-23,58.31,58.53
2017-03-24,60.18,59.31
2017-03-27,58.72,59.08
2017-03-28,59.04,59.59
2017-03-29,59.86,59.65
2017-03-30,59.72,59.62
2017-03-31,59.57,60.22
