Date,Open,Close
2017-03-01,85.69,85.99
2017-03-02,85.77,83.21
2017-03-03,83.79,83.41
2017-03-06,83.26,84.36
2017-03-07,84.16,83.46
2017-03-08,83.4,83.76
2017-03-09,83.23,81.75
2017-03-10,82.03,81.95
2017-03-13,82.12,83.45
2017-03-14,82.68,83.09
2017-03-15,83.45,85.48
2017-03-16,85.72,85.13
2017-03-17,85.27,85.34
2017-03-20,85.17,84.23
2017-03-21,84.48,82.01
2017-03-22,81.5,81.99
2017-03-23,82.01,81.79
2017-03-24,81.37,80.28
2017-03-27,79.83,81.44
2017-03-28,81.4,81.63
2017-03-29,81.47,83.03
2017-03-30,83.35,80.64
2017-03-31,81.06,81.06
