Date,Open,Close
2017-05-01,43.61,43.35
2017-05-02,43.38,43.13
2017-05-03,43.23,42.83
2017-05-04,42.66,43.17
2017-05-05,43.13,43.96
2017-05-08,44.02,43.09
2017-05-09,43.04,42.9
2017-05-10,42.88,43.35
2017-05-11,43.1,43.2
2017-05-12,43.24,43.22
2017-05-15,43.23,43.07
2017-05-16,43.05,42.64
2017-05-17,42.22,42.87
2017-05-18,42.78,42.79
2017-05-19,42.82,43.04
2017-05-22,43.17,43.15
2017-05-23,43.21,43.28
2017-05-24,43.32,43.27
2017-05-25,43.49,43.19
2017-05-26,43.18,43.18
2017-05-30,43.22,42.92
2017-05-31,42.83,42.92
