Date,Open,Close
2017-05-01,105.74,106.27
2017-05-02,106.73,106.8
2017-05-03,106.78,106.74
2017-05-04,106.99,107.22
2017-05-05,107.43,107.09
2017-05-08,107.18,107.19
2017-05-09,107.15,107.28
2017-05-10,107.0,107.85
2017-05-11,107.67,107.41
2017-05-12,107.16,106.47
2017-05-15,106.5,107.59
2017-05-16,107.46,106.39
2017-05-17,105.5,105.12
2017-05-18,105.2,105.65
2017-05-19,105.86,105.89
2017-05-22,106.04,106.55
2017-05-23,106.74,106.51
2017-05-24,106.51,106.54
2017-05-25,106.75,108.14
2017-05-26,108.26,107.98
2017-05-30,107.95,107.89
2017-05-31,108.06,108.77
