Date,Open,Close
2017-05-01,64.77,64.83
2017-05-02,64.9,64.73
2017-05-03,64.87,63.92
2017-05-04,63.75,64.41
2017-05-05,64.64,65.49
2017-05-08,65.63,65.02
2017-05-09,64.93,64.84
2017-05-10,64.73,65.15
2017-05-11,64.79,64.81
2017-05-12,65.09,64.9
2017-05-15,64.82,64.84
2017-05-16,64.65,64.52
2017-05-17,64.55,64.34
2017-05-18,64.46,65.41
2017-05-19,65.41,65.55
2017-05-22,65.5,65.36
2017-05-23,65.27,64.93
2017-05-24,65.14,65.2
2017-05-25,65.47,65.07
2017-05-26,65.2,65.17
2017-05-30,65.16,65.31
2017-05-31,65.33,65.09
