Date,Open,Close
2017-05-01,33.07,32.69
2017-05-02,32.72,32.61
2017-05-03,32.44,32.67
2017-05-04,32.8,32.41
2017-05-05,32.47,32.38
2017-05-08,32.48,32.35
2017-05-09,32.4,32.56
2017-05-10,32.24,32.39
2017-05-11,32.22,32.15
2017-05-12,31.97,32.12
2017-05-15,32.23,32.22
2017-05-16,32.39,32.18
2017-05-17,31.49,30.66
2017-05-18,30.69,31.24
2017-05-19,31.38,31.62
2017-05-22,31.87,31.85
2017-05-23,30.95,31.25
2017-05-24,31.28,31.18
2017-05-25,31.51,31.95
2017-05-26,31.78,32.0
2017-05-30,31.99,31.62
2017-05-31,31.85,31.7
