Date,Open,Close
2017-06-01,25.92,26.06
2017-06-02,26.07,25.85
2017-06-05,25.9,25.63
2017-06-06,25.63,25.51
2017-06-07,25.56,25.63
2017-06-08,25.6,25.28
2017-06-09,25.35,25.27
2017-06-12,25.22,25.6
2017-06-13,25.51,25.54
2017-06-14,25.63,25.42
2017-06-15,25.31,25.52
2017-06-16,25.4,25.6
2017-06-19,25.69,25.55
2017-06-20,25.5,24.73
2017-06-21,24.71,24.8
2017-06-22,24.79,24.82
2017-06-23,24.89,25.06
2017-06-26,25.18,25.44
2017-06-27,25.44,25.39
2017-06-28,25.46,25.4
2017-06-29,25.33,25.24
2017-06-30,25.32,25.21
