Date,Open,Close
2017-08-01,32.78,32.93
2017-08-02,32.89,32.39
2017-08-03,32.39,32.73
2017-08-04,33.0,32.56
2017-08-07,32.5,32.32
2017-08-08,32.28,32.26
2017-08-09,32.14,32.19
2017-08-10,32.72,32.35
2017-08-11,32.13,32.23
2017-08-14,32.6,32.76
2017-08-15,32.74,32.32
2017-08-16,32.38,32.14
2017-08-17,32.12,31.85
2017-08-18,31.91,31.6
2017-08-21,31.51,31.79
2017-08-22,31.85,31.71
2017-08-23,31.66,31.33
2017-08-24,31.4,31.16
2017-08-25,31.18,31.34
2017-08-28,31.51,31.22
2017-08-29,31.04,31.26
2017-08-30,31.26,31.31
2017-08-31,31.37,31.51
