Date,Open,Close
2017-08-01,55.29,55.71
2017-08-02,55.65,55.63
2017-08-03,55.54,55.84
2017-08-04,56.11,56.29
2017-08-07,56.23,55.97
2017-08-08,55.93,56.05
2017-08-09,55.99,56.24
2017-08-10,55.92,55.73
2017-08-11,55.73,56.04
2017-08-14,56.38,56.45
2017-08-15,56.68,56.81
2017-08-16,56.92,56.51
2017-08-17,56.45,55.6
2017-08-18,55.43,55.56
2017-08-21,55.65,55.28
2017-08-22,55.39,55.56
2017-08-23,55.27,55.15
2017-08-24,55.28,54.63
2017-08-25,54.8,55.03
2017-08-28,54.69,54.49
2017-08-29,54.04,54.33
2017-08-30,54.12,54.35
2017-08-31,54.43,54.07
