Date,Open,Close
2017-08-01,32.53,31.88
2017-08-02,31.65,32.61
2017-08-03,32.6,32.62
2017-08-04,32.65,33.18
2017-08-07,32.3,31.79
2017-08-08,31.6,31.29
2017-08-09,31.37,30.81
2017-08-10,30.97,30.35
2017-08-11,30.22,30.29
2017-08-14,30.38,30.62
2017-08-15,30.49,30.39
2017-08-16,30.44,29.94
2017-08-17,29.91,30.09
2017-08-18,30.01,30.38
2017-08-21,30.22,30.29
2017-08-22,30.41,30.2
2017-08-23,30.07,30.37
2017-08-24,30.26,30.08
2017-08-25,30.21,30.52
2017-08-28,30.6,30.34
2017-08-29,30.14,30.36
2017-08-30,30.28,30.45
2017-08-31,30.65,30.67
