Date,Open,Close
2017-08-01,57.18,57.74
2017-08-02,57.58,57.1
2017-08-03,56.91,57.04
2017-08-04,56.83,57.45
2017-08-07,57.45,57.45
2017-08-08,57.27,57.3
2017-08-09,57.29,57.48
2017-08-10,57.48,57.02
2017-08-11,56.83,56.48
2017-08-14,56.74,57.32
2017-08-15,57.05,56.97
2017-08-16,57.07,57.61
2017-08-17,57.62,57.19
2017-08-18,57.12,56.85
2017-08-21,56.94,57.88
2017-08-22,57.8,57.38
2017-08-23,57.41,58.1
2017-08-24,58.19,57.5
2017-08-25,57.8,58.04
2017-08-28,58.02,57.21
2017-08-29,57.48,57.14
2017-08-30,56.89,56.92
2017-08-31,57.1,57.56
