Date,Open,Close
2017-08-01,85.29,85.67
2017-08-02,86.49,84.37
2017-08-03,84.5,84.5
2017-08-04,84.79,81.17
2017-08-07,81.16,80.97
2017-08-08,80.79,81.34
2017-08-09,80.72,80.99
2017-08-10,80.51,79.19
2017-08-11,79.05,79.92
2017-08-14,80.93,82.83
2017-08-15,83.03,83.82
2017-08-16,84.2,85.85
2017-08-17,85.48,82.48
2017-08-18,82.46,83.21
2017-08-21,82.98,83.86
2017-08-22,84.48,86.65
2017-08-23,86.42,88.31
2017-08-24,89.0,89.45
2017-08-25,89.15,90.25
2017-08-28,91.03,90.56
2017-08-29,89.43,90.07
2017-08-30,88.75,90.3
2017-08-31,90.3,88.27
