Date,Open,Close
2017-09-01,142.98,144.08
2017-09-05,143.5,143.04
2017-09-06,143.88,143.82
2017-09-07,144.1,142.9
2017-09-08,143.15,142.45
2017-09-11,143.54,144.86
2017-09-12,145.11,145.76
2017-09-13,145.35,145.99
2017-09-14,145.86,145.54
2017-09-15,144.82,144.82
2017-09-18,144.81,144.55
2017-09-19,144.79,144.39
2017-09-20,144.93,145.88
2017-09-21,145.65,145.26
2017-09-22,145.59,145.13
2017-09-25,145.12,145.87
2017-09-26,146.36,146.56
2017-09-27,146.68,145.66
2017-09-28,145.33,145.66
2017-09-29,145.45,145.08
