Date,Open,Close
2017-10-02,91.65,92.38
2017-10-03,92.21,92.1
2017-10-04,92.12,92.86
2017-10-05,92.73,93.19
2017-10-06,93.32,93.29
2017-10-09,93.26,93.2
2017-10-10,93.2,93.33
2017-10-11,93.12,93.09
2017-10-12,93.27,92.54
2017-10-13,92.71,92.34
2017-10-16,92.34,92.46
2017-10-17,92.46,91.41
2017-10-18,91.48,91.25
2017-10-19,91.07,92.73
2017-10-20,93.45,92.97
2017-10-23,92.96,92.97
2017-10-24,93.3,93.64
2017-10-25,93.73,93.305
2017-10-26,93.55,93.96
2017-10-27,93.72,93.73
2017-10-30,93.27,94.07
2017-10-31,93.94,93.86
