Date,Open,Close
2017-10-02,26.51,26.6
2017-10-03,26.65,26.63
2017-10-04,26.63,27.1
2017-10-05,27.2,26.95
2017-10-06,26.96,26.99
2017-10-09,27.0,26.58
2017-10-10,26.64,26.77
2017-10-11,26.63,26.11
2017-10-12,25.8,26.14
2017-10-13,26.29,26.52
2017-10-16,26.54,26.69
2017-10-17,26.56,26.88
2017-10-18,26.96,27.18
2017-10-19,27.07,27.37
2017-10-20,27.55,27.5
2017-10-23,27.51,26.69
2017-10-24,26.62,26.23
2017-10-25,26.18,26.13
2017-10-26,26.32,26.31
2017-10-27,26.03,26.41
2017-10-30,26.3,26.39
2017-10-31,26.48,26.15
