Date,Open,Close
2017-10-02,69.25,69.43
2017-10-03,69.49,68.86
2017-10-04,68.87,68.91
2017-10-05,68.94,69.37
2017-10-06,69.36,69.48
2017-10-09,69.5,69.66
2017-10-10,69.8,69.92
2017-10-11,70.0,70.22
2017-10-12,70.15,70.38
2017-10-13,70.58,71.16
2017-10-16,71.09,71.13
2017-10-17,71.04,71.22
2017-10-18,71.54,71.06
2017-10-19,70.95,71.1
2017-10-20,71.37,71.04
2017-10-23,71.27,70.42
2017-10-24,70.79,71.14
2017-10-25,71.16,71.325
2017-10-26,72.1,72.48
2017-10-27,71.8,71.91
2017-10-30,71.76,72.65
2017-10-31,72.65,72.28
