Date,Open,Close
2017-10-02,69.2,69.47
2017-10-03,69.81,70.08
2017-10-04,70.1,70.2
2017-10-05,70.4,70.44
2017-10-06,70.15,70.61
2017-10-09,70.64,70.62
2017-10-10,70.68,70.88
2017-10-11,70.84,71.5
2017-10-12,71.54,71.81
2017-10-13,71.93,71.39
2017-10-16,71.63,71.25
2017-10-17,71.13,70.41
2017-10-18,70.7,70.19
2017-10-19,69.98,71.32
2017-10-20,71.59,71.73
2017-10-23,71.73,71.64
2017-10-24,71.92,71.61
2017-10-25,71.92,71.43
2017-10-26,71.47,72.1
2017-10-27,72.21,72.72
2017-10-30,72.4,71.83
2017-10-31,71.96,72.32
