Date,Open,Close
2017-10-02,84.76,85.29
2017-10-03,85.35,85.0
2017-10-04,85.05,85.78
2017-10-05,85.84,85.55
2017-10-06,85.22,85.33
2017-10-09,85.5,85.37
2017-10-10,85.52,85.8
2017-10-11,85.74,86.4
2017-10-12,86.48,87.31
2017-10-13,87.53,87.38
2017-10-16,87.23,87.27
2017-10-17,87.02,87.76
2017-10-18,87.57,87.34
2017-10-19,87.62,88.57
2017-10-20,88.49,88.78
2017-10-23,88.94,88.81
2017-10-24,88.68,88.43
2017-10-25,88.22,88.25
2017-10-26,88.71,88.14
2017-10-27,88.01,88.91
2017-10-30,88.9,88.22
2017-10-31,87.47,87.71
