Date,Open,Close
2017-10-02,41.11,40.98
2017-10-03,40.92,41.84
2017-10-04,42.02,43.4
2017-10-05,43.39,43.61
2017-10-06,43.73,41.61
2017-10-09,41.55,42.04
2017-10-10,42.28,40.99
2017-10-11,41.2,40.33
2017-10-12,40.18,39.53
2017-10-13,39.7,39.4
2017-10-16,39.41,39.72
2017-10-17,39.71,40.36
2017-10-18,40.46,40.01
2017-10-19,39.81,40.48
2017-10-20,40.66,40.3
2017-10-23,40.36,39.74
2017-10-24,40.46,39.3
2017-10-25,38.37,37.59
2017-10-26,37.67,37.75
2017-10-27,36.7,37.05
2017-10-30,36.95,37.33
2017-10-31,37.4,37.5
