Date,Open,Close
2017-11-01,208.07,206.52
2017-11-02,206.95,208.33
2017-11-03,208.23,208.97
2017-11-06,209.49,209.32
2017-11-07,209.02,211.49
2017-11-09,212.76,211.37
2017-11-10,211.11,211.52
2017-11-13,211.66,213.25
2017-11-14,212.43,212.92
2017-11-15,212.77,210.05
2017-11-16,209.38,213.67
2017-11-17,212.75,211.85
2017-11-20,211.81,211.11
2017-11-21,211.55,211.32
2017-11-22,210.65,211.29
2017-11-24,211.9,212.79
2017-11-27,213.43,214.93
2017-11-28,213.21,209.43
2017-11-29,208.87,210.26
2017-11-30,210.71,213.12
